"NAME","state","SDLEA","B19013..Median.Household.Income.in.the.Past.12.Months..in.2015.Inflation.Adjusted.Dollars...Median.household.income.in.the.past.12.months..in.2015.Inflation.adjusted.dollars."
"Chesterfield-Goshen School District, Massachusetts",25,"00014",67292
"Up-Island Regional School District, Massachusetts",25,"00043",75208
"Acton School District, Massachusetts",25,"01680",125635
"Acushnet School District, Massachusetts",25,"01740",67421
"Amherst School District, Massachusetts",25,"01890",48059
"Berkley School District, Massachusetts",25,"02520",86288
"Berlin School District, Massachusetts",25,"02550",88816
"Boxborough School District, Massachusetts",25,"02850",102699
"Boxford School District, Massachusetts",25,"02880",140268
"Boylston School District, Massachusetts",25,"02910",102905
"Brewster School District, Massachusetts",25,"02970",66220
"Brimfield School District, Massachusetts",25,"03060",87961
"Brookfield School District, Massachusetts",25,"03120",63920
"Carlisle School District, Massachusetts",25,"03330",166111
"Clarksburg School District, Massachusetts",25,"03720",56625
"Concord School District, Massachusetts",25,"03840",134036
"Conway School District, Massachusetts",25,"03900",76667
"Deerfield School District, Massachusetts",25,"04080",74853
"Dover School District, Massachusetts",25,"04260",185542
"Eastham School District, Massachusetts",25,"04530",60760
"Oak Bluffs School District, Massachusetts",25,"04650",75242
"Erving School District, Massachusetts",25,"04710",60769
"Florida School District, Massachusetts",25,"04920",52222
"Halifax School District, Massachusetts",25,"05610",64013
"Hancock School District, Massachusetts",25,"05760",74554
"Hawlemont School District, Massachusetts",25,"06000",55242
"Holland School District, Massachusetts",25,"06210",75000
"Kingston School District, Massachusetts",25,"06540",85384
"Lanesborough School District, Massachusetts",25,"06630",68390
"Leverett School District, Massachusetts",25,"06810",83333
"Lincoln School District, Massachusetts",25,"06900",128934
"Marion School District, Massachusetts",25,"07290",76503
"Mattapoisett School District, Massachusetts",25,"07470",86659
"Middleton School District, Massachusetts",25,"07830",108622
"Nahant School District, Massachusetts",25,"08220",65284
"New Salem-Wendell School District, Massachusetts",25,"08530",55521
"Norfolk School District, Massachusetts",25,"08640",141278
"Northborough School District, Massachusetts",25,"08880",107797
